Feeder,Pf,QF,Pg,B,R,P_rsrv,Cost,time
feeder1,3.954999912512947,0.11997158801751463,0,0.2499999882045911,8748705309617038e-23,0,11249.036268798733,2.0075440406799316
feeder2,2.212999912512947,0.11065000000000001,0,0.2499999882045911,8748705309626988e-23,0,11249.036268798733,2.0075440406799316
feeder3,3.179999912512947,-0.15900000000000003,0,0.2499999882045911,8748705309638712e-23,0,11249.036268798733,2.0075440406799316
feeder4,1.8959999125129468,-0.0948,0,0.2499999882045911,87487053096274e-21,0,11249.036268798733,2.0075440406799316
feeder5,2.9619999076109766,0.07885287058689461,0,0.2499999882337218,9238902372472364e-23,0,11249.036268798733,2.0075440406799316
feeder6,4.075999907610976,0.20379999999999998,0,0.2499999882337218,923890237246936e-22,0,11249.036268798733,2.0075440406799316
feeder7,2.5479999076109765,-0.1274,0,0.2499999882337218,9238902372475434e-23,0,11249.036268798733,2.0075440406799316
feeder8,3.7709999076109764,-0.18855,0,0.2499999882337218,9238902372480874e-23,0,11249.036268798733,2.0075440406799316
feeder9,1.882999921812143,0.05678935239804185,0,0.24999998872841112,7818785718409115e-23,0,11249.036268798733,2.0075440406799316
feeder10,1.867999921812143,-0.09340000000000001,0,0.24999998872841112,7818785718409195e-23,0,11249.036268798733,2.0075440406799316
feeder11,2.871999921812143,0.1436,0,0.24999998872841112,7818785718413474e-23,0,11249.036268798733,2.0075440406799316
feeder12,2.602999921812143,-0.13015000000000002,0,0.24999998872841112,7818785718415256e-23,0,11249.036268798733,2.0075440406799316
